petname,sex,species,bornAt
Buddy,Male,Dog,2006-02-02
Max,Female,Cat,2007-07-22
Molly,Other,Bird,2008-06-13
Maggi,Male,Snake,2009-07-24
Baile,Female,Cow,2009-09-23
Daisy,Other,Horse,2009-11-07
Bella,Male,Fish,2010-04-29
Sadie,Female,Rat,2010-08-18
Jake,Other,Rabbit,2010-09-10
Lucy,Male,Dog,2011-05-05
Bear,Female,Cat,2011-07-18
Jack,Other,Bird,2012-03-11
Shado,Male,Snake,2012-12-16
Abby,Female,Cow,2013-08-14
Rocky,Other,Horse,2014-01-13
Toby,Male,Fish,2014-03-14
Chloe,Female,Rat,2014-03-28
Charl,Other,Rabbit,2015-10-25
Ginge,Male,Dog,2016-08-08
Lucky,Female,Cat,2017-01-08
Riley,Other,Bird,2017-08-05
Duke,Male,Snake,2019-04-27
Lady,Female,Cow,2019-07-19
Harle,Other,Horse,2020-02-08
Sophi,Male,Fish,2005-05-23
Casey,Female,Rat,2006-05-11
Angel,Other,Rabbit,2007-01-26
Cody,Male,Dog,2007-10-18
Buste,Female,Cat,2009-12-20
Princ,Other,Bird,2010-03-06
Sasha,Male,Snake,2011-08-29
Sam,Female,Cow,2011-10-06
Lily,Other,Horse,2012-05-16
Coope,Male,Fish,2012-09-20
Bandi,Female,Rat,2012-12-22
Dakot,Other,Rabbit,2012-12-24
Missy,Male,Dog,2015-09-24
Coco,Female,Cat,2016-04-11
Tucke,Other,Bird,2016-05-24
Zoe,Male,Snake,2016-09-01
Teddy,Female,Cow,2017-05-10
Graci,Other,Horse,2018-01-15
Zoey,Male,Fish,2018-09-18
Sammy,Female,Rat,2019-01-26
Rusty,Other,Rabbit,2020-01-17
Sandy,Male,Dog,2020-05-28
Roxy,Female,Cat,2020-08-26
Peppe,Other,Bird,2021-03-06
Rosie,Male,Snake,2021-08-01
Shelb,Female,Cow,2006-02-02
Penny,Other,Horse,2007-07-22
Emma,Male,Fish,2008-06-13
Brand,Female,Rat,2009-07-24
Lilly,Other,Rabbit,2009-09-23
Murph,Male,Dog,2009-11-07
Ruby,Female,Cat,2010-04-29
Peanu,Other,Bird,2010-08-18
Holly,Male,Snake,2010-09-10
Jasmi,Female,Cow,2011-05-05
Katie,Other,Horse,2011-07-18
Hunte,Male,Fish,2012-03-11
Lola,Female,Rat,2012-12-16
Gizmo,Other,Rabbit,2013-08-14
Annie,Male,Dog,2014-01-13
Cocoa,Female,Cat,2014-03-14
Misty,Other,Bird,2014-03-28
Sassy,Male,Snake,2015-10-25
Oscar,Female,Cow,2016-08-08
Zeus,Other,Horse,2017-01-08
Mia,Male,Fish,2017-08-05
Heidi,Female,Rat,2019-04-27
Olive,Other,Rabbit,2019-07-19
Saman,Male,Dog,2020-02-08
Spark,Female,Cat,2005-05-23
Baby,Other,Bird,2006-05-11
Belle,Male,Snake,2007-01-26
Oreo,Female,Cow,2007-10-18
Blue,Other,Horse,2009-12-20
Micke,Male,Fish,2010-03-06
Dixie,Female,Rat,2011-08-29
Chanc,Other,Rabbit,2011-10-06
Rudy,Male,Dog,2012-05-16
